"consumer","degree_all_taxa","degree_species","self_links","reported_source_names"
"Megalops atlanticus",53,6,1,1
"Megalops cyprinoides",34,4,0,1
"Menidia beryllina",255,100,1,2
"Menidia menidia",59,35,0,1
"Micropterus coosae",1,1,0,1
"Micropterus dolomieu",98,37,1,1
"Micropterus floridanus",2,2,1,1
"Micropterus punctulatus",6,1,0,1
"Micropterus salmoides",640,439,1,1
"Monopterus albus",12,1,0,1
"Morone americana",206,128,1,1
"Morone chrysops",22,8,1,1
"Morone mississippiensis",27,7,0,1
"Morone saxatilis",301,194,1,1
"Myoxocephalus quadricornis",30,14,1,1
"Nandus nandus",4,1,0,1
"Neochanna burrowsius",46,1,1,1
"Neogobius melanostomus",1308,1160,1,1
"Neolamprologus savoryi",7,1,0,1
"Notemigonus crysoleucas",162,58,0,1
"Notothenia coriiceps",248,164,1,1
"Notothenia rossii",70,29,0,1
"Noturus flavus",24,1,0,1
"Noturus stigmosus",7,1,0,1
"Oblada melanura",33,5,1,2
"Ocyurus chrysurus",316,230,0,1
"Oncorhynchus clarkii",74,22,1,2
"Oncorhynchus gorbuscha",144,23,0,1
"Oncorhynchus keta",147,33,0,1
"Oncorhynchus kisutch",176,75,1,2
"Oncorhynchus mykiss",1004,769,1,2
"Oncorhynchus nerka",142,41,0,3
"Oncorhynchus tshawytscha",217,100,1,1
"Oreochromis mossambicus",248,26,1,1
"Oreochromis niloticus",170,27,1,1
"Osmerus dentex",22,5,0,1
"Osmerus eperlanus",87,23,1,1
"Osmerus mordax",114,42,0,3
"Padogobius bonelli",734,650,0,1
"Pagellus bogaraveo",155,73,0,1
"Pagrus major",121,52,0,1
"Paralabrax clathratus",85,41,1,1
"Paralichthys californicus",110,80,1,1
"Paralichthys lethostigma",103,25,1,1
"Paralichthys olivaceus",55,25,1,1
"Pegusa lascaris",50,12,0,1
"Pelecus cultratus",23,4,0,1
"Perca flavescens",245,84,1,1
"Perca fluviatilis",1055,830,1,1
"Perissodus microlepis",45,21,0,1
"Petrus rupestris",4,1,0,1
"Pimephales notatus",47,5,0,1
"Pimephales promelas",83,26,0,1
"Platichthys flesus",350,193,1,1
"Plecodus straeleni",47,44,0,1
"Pleuronectes platessa",547,313,1,1
"Pomatoschistus microps",80,30,1,1
"Pomatoschistus minutus",153,60,1,3
"Pomoxis annularis",22,4,0,1
"Pomoxis nigromaculatus",131,49,1,1
"Ponticola kessleri",757,656,1,1
"Prosopium williamsoni",33,3,1,1
"Pseudorasbora parva",683,566,1,1
"Pterogymnus laniarius",28,7,0,1
"Pterois volitans",72,22,0,1
"Ptychocheilus grandis",3,3,1,1
"Ptychocheilus oregonensis",50,16,1,2
"Pungitius pungitius",64,6,1,1
"Pygocentrus nattereri",29,8,0,1
"Pylodictis olivaris",83,19,1,1
"Richardsonius balteatus",16,2,1,1
"Rutilus rutilus",864,627,0,2
"Salaria fluviatilis",483,400,0,2
"Salmo labrax",731,650,0,1
"Salmo salar",984,748,1,1
"Salmo trutta",1820,1368,1,2
"Salvelinus alpinus",316,92,1,3
"Salvelinus fontinalis",962,759,1,1
"Salvelinus leucomaenis",35,5,0,1
"Salvelinus namaycush",812,692,1,3
"Sander canadensis",30,18,1,1
"Sander lucioperca",157,107,1,1
"Sander vitreus",69,44,1,1
"Sander volgensis",11,4,0,1
"Sarda australis",8,4,0,1
"Sarda chiliensis",30,17,0,1
"Sarda orientalis",13,4,0,1
"Sarda sarda",48,14,1,2
"Sardinops sagax",118,13,0,1
"Scardinius erythrophthalmus",1146,1000,0,2
"Scartella cristata",144,61,1,1
"Schilbe intermedius",56,12,1,1
"Schilbe mystus",68,27,0,1
"Sciaenops ocellatus",260,97,1,1
"Scomber australasicus",36,2,0,1
"Scomber japonicus",529,230,1,2
"Scomber scombrus",564,237,1,2
"Scomberomorus commerson",42,12,0,1
"Scomberomorus munroi",7,2,0,1
"Scomberomorus niphonius",26,13,0,1
"Scomberomorus queenslandicus",18,1,0,1
"Scomberomorus regalis",101,69,0,1
"Scomberomorus tritor",4,1,0,1
"Scorpaena porcus",121,35,0,1
"Semotilus atromaculatus",206,70,0,1
"Seriola lalandi",38,10,0,1
"Serranochromis angusticeps",6,1,0,1
"Serranus atricauda",32,20,0,1
"Silurus asotus",10,5,1,1
"Silurus glanis",180,104,1,1
"Silurus meridionalis",2,1,0,1
"Solea solea",448,208,0,1
"Sperata seenghala",1,1,0,1
"Sphoeroides maculatus",175,140,0,1
"Squalius cephalus",970,826,1,1
"Stenodus leucichthys",21,11,1,1
"Strongylura marina",160,99,0,1
"Syngnathus acus",79,18,0,1
"Synodontis zambezensis",9,1,0,1
"Tautogolabrus adspersus",48,11,0,1
"Tenualosa ilisha",20,0,1,1
"Terapon jarbua",72,5,0,1
"Tetrapturus angustirostris",7,2,0,1
"Thalassoma bifasciatum",194,128,0,1
"Thaleichthys pacificus",23,6,1,1
"Thunnus alalunga",125,66,0,1
"Thunnus albacares",277,126,1,1
"Thunnus atlanticus",55,16,1,1
"Thunnus maccoyii",10,3,0,1
"Thunnus obesus",145,54,0,1
"Thunnus thynnus",198,89,0,1
"Thymallus arcticus",23,2,0,1
"Thymallus thymallus",668,473,1,1
"Tinca tinca",769,625,0,1
"Trachinotus carolinus",28,0,1,1
"Trachurus japonicus",18,3,0,1
"Trematomus hansoni",180,98,1,1
"Trematomus pennellii",228,170,1,1
"Trinectes maculatus",67,29,1,1
"Umbra limi",77,11,1,1
"Wallago attu",10,2,0,1
"Xiphias gladius",223,117,1,1
"Zoarces viviparus",57,28,1,1
