"dataset","consumer","degree","degree_all_taxa","self_links","metrics","n_metrics","consumer_taxon_status","consumer_taxon_evidence"
"GloBI consumers","Barbus plebejus",1079,1187,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Bathygobius soporator",38,120,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Belonesox belizanus",1,2,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Beryx splendens",57,165,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Blicca bjoerkna",573,710,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Bodianus rufus",124,183,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Brachyponera chinensis",7,11,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Butis butis",1,7,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Calamus brachysomus",1,13,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Calathus melanocephalus",1637,1677,1,"ctmin",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Canthigaster rostrata",256,361,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Carasobarbus canis",5,21,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Carassius carassius",1066,1395,0,"ctmax;ctmin",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Carassius gibelio",998,1121,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Carcinus maenas",161,254,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Catostomus catostomus",1,30,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Catostomus commersonii",1,58,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Catostomus macrocheilus",1,18,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Centrolabrus exoletus",20,23,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Centropristis striata",111,182,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Chaenocephalus aceratus",19,53,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Channa marulius",1,3,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Channa micropeltes",1,7,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Channa punctata",13,34,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Channa striata",4,45,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Chanodichthys erythropterus",13,38,0,"ctmax",1,"animal","verified thermal-source taxonomy"
