"query_name","source_taxon_name","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","consumer","reported_consumer","resource_name","resource_species","species_level","self_link","resource_key_all"
"Salmo labrax","Salmo labrax","preysOn","COL:439TG","Microvelia reticulata","Eukaryota | Animalia | Arthropoda | Hexapoda | Insecta | Hemiptera | Heteroptera | Dipsocoromorpha | Gerroidea | Veliidae | Microveliinae | Microvelia | Microvelia | Microvelia reticulata","Salmo labrax","Salmo labrax","Microvelia reticulata","Microvelia reticulata",TRUE,FALSE,"microvelia reticulata"
"Salmo labrax","Salmo labrax","preysOn","3740","Myrsidea birmensis","Animalia | Arthropoda | Insecta | Psocodea | Troctomorpha | Nanopsocetae | Phthiraptera | Amblycera | Menoponidae | Myrsidea | birmensis","Salmo labrax","Salmo labrax","Myrsidea birmensis",,FALSE,FALSE,"myrsidea birmensis"
"Salmo labrax","Salmo labrax","preysOn","COL:73T4K","Mystacides azureus","Eukaryota | Animalia | Arthropoda | Hexapoda | Insecta | Trichoptera | Leptoceroidea | Leptoceridae | Leptocerinae | Mystacidini | Mystacides | Mystacides azureus","Salmo labrax","Salmo labrax","Mystacides azureus","Mystacides azureus",TRUE,FALSE,"mystacides azureus"
"Salmo labrax","Salmo labrax","preysOn","WD:Q2386724","Nebrioporus assimilis","Coleoptera | Adephaga | Dytiscidae | Nebrioporus | Nebrioporus assimilis","Salmo labrax","Salmo labrax","Nebrioporus assimilis","Nebrioporus assimilis",TRUE,FALSE,"nebrioporus assimilis"
"Salmo labrax","Salmo labrax","preysOn","WD:Q2178292","Nebrioporus canaliculatus","Coleoptera | Adephaga | Dytiscidae | Nebrioporus | Nebrioporus canaliculatus","Salmo labrax","Salmo labrax","Nebrioporus canaliculatus","Nebrioporus canaliculatus",TRUE,FALSE,"nebrioporus canaliculatus"
"Salmo labrax","Salmo labrax","preysOn","WD:Q2221069","Nebrioporus elegans","Coleoptera | Adephaga | Dytiscidae | Nebrioporus | Nebrioporus elegans","Salmo labrax","Salmo labrax","Nebrioporus elegans","Nebrioporus elegans",TRUE,FALSE,"nebrioporus elegans"
"Salmo labrax","Salmo labrax","preysOn","WD:Q244228","Nehalennia speciosa","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Palaeoptera | Odonatoptera | Odonata | Zygoptera | Coenagrionidae | Nehalennia | Nehalennia speciosa","Salmo labrax","Salmo labrax","Nehalennia speciosa","Nehalennia speciosa",TRUE,FALSE,"nehalennia speciosa"
"Salmo labrax","Salmo labrax","preysOn","NCBI:62803","Nemoura","root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera | Polyneoptera | Plecoptera | Nemouroidea | Nemouridae | Nemourinae | Nemoura","Salmo labrax","Salmo labrax","Nemoura",,FALSE,FALSE,"nemoura"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596116","Nemoura avicularis","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura avicularis","Salmo labrax","Salmo labrax","Nemoura avicularis","Nemoura avicularis",TRUE,FALSE,"nemoura avicularis"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596131","Nemoura cambrica","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura cambrica","Salmo labrax","Salmo labrax","Nemoura cambrica","Nemoura cambrica",TRUE,FALSE,"nemoura cambrica"
"Salmo labrax","Salmo labrax","preysOn","EOL:613495","Nemoura cinerea","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Polyneoptera | Plecoptera | Nemouroidea | Nemouridae | Nemoura | Nemoura cinerea","Salmo labrax","Salmo labrax","Nemoura cinerea","Nemoura cinerea",TRUE,FALSE,"nemoura cinerea"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10509941","Nemoura dubitans","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura dubitans","Salmo labrax","Salmo labrax","Nemoura dubitans","Nemoura dubitans",TRUE,FALSE,"nemoura dubitans"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596151","Nemoura flexuosa","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura flexuosa","Salmo labrax","Salmo labrax","Nemoura flexuosa","Nemoura flexuosa",TRUE,FALSE,"nemoura flexuosa"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596195","Nemoura marginata","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura marginata","Salmo labrax","Salmo labrax","Nemoura marginata","Nemoura marginata",TRUE,FALSE,"nemoura marginata"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596202","Nemoura minima","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura minima","Salmo labrax","Salmo labrax","Nemoura minima","Nemoura minima",TRUE,FALSE,"nemoura minima"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596206","Nemoura mortoni","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura mortoni","Salmo labrax","Salmo labrax","Nemoura mortoni","Nemoura mortoni",TRUE,FALSE,"nemoura mortoni"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596217","Nemoura obtusa","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura obtusa","Salmo labrax","Salmo labrax","Nemoura obtusa","Nemoura obtusa",TRUE,FALSE,"nemoura obtusa"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596223","Nemoura palliventris","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura palliventris","Salmo labrax","Salmo labrax","Nemoura palliventris","Nemoura palliventris",TRUE,FALSE,"nemoura palliventris"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596229","Nemoura pesarinii","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura pesarinii","Salmo labrax","Salmo labrax","Nemoura pesarinii","Nemoura pesarinii",TRUE,FALSE,"nemoura pesarinii"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596240","Nemoura rivorum","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura rivorum","Salmo labrax","Salmo labrax","Nemoura rivorum","Nemoura rivorum",TRUE,FALSE,"nemoura rivorum"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13581060","Nemoura sciurus","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura sciurus","Salmo labrax","Salmo labrax","Nemoura sciurus","Nemoura sciurus",TRUE,FALSE,"nemoura sciurus"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596252","Nemoura sinuata","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura sinuata","Salmo labrax","Salmo labrax","Nemoura sinuata","Nemoura sinuata",TRUE,FALSE,"nemoura sinuata"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596266","Nemoura uncinata","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura uncinata","Salmo labrax","Salmo labrax","Nemoura uncinata","Nemoura uncinata",TRUE,FALSE,"nemoura uncinata"
"Salmo labrax","Salmo labrax","preysOn","WD:Q10596267","Nemoura undulata","Ecdysozoa | Arthropoda | Hexapoda | Insecta | Dicondylia | Pterygota | Metapterygota | Neoptera | Polyneoptera | Plecoptera | Nemouridae | Nemoura | Nemoura undulata","Salmo labrax","Salmo labrax","Nemoura undulata","Nemoura undulata",TRUE,FALSE,"nemoura undulata"
"Salmo labrax","Salmo labrax","preysOn","NCBI:143722","Nemurella pictetii","root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera | Polyneoptera | Plecoptera | Nemouroidea | Nemouridae | Nemourinae | Nemurella | Nemurella pictetii","Salmo labrax","Salmo labrax","Nemurella pictetii","Nemurella pictetii",TRUE,FALSE,"nemurella pictetii"
"Salmo labrax","Salmo labrax","preysOn","COL:6RW9X","Neogobius melanostomus","Eukaryota | Animalia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Actinopterygii | Actinopteri | Teleostei | Gobiiformes | Gobiidae | Gobiinae | Neogobius | Neogobius melanostomus","Salmo labrax","Salmo labrax","Neogobius melanostomus","Neogobius melanostomus",TRUE,FALSE,"neogobius melanostomus"
"Salmo labrax","Salmo labrax","preysOn","COL:6S9XY","Nigrobaetis niger","Eukaryota | Animalia | Arthropoda | Hexapoda | Insecta | Ephemeroptera | Baetoidea | Baetidae | Nigrobaetis | Nigrobaetis niger","Salmo labrax","Salmo labrax","Nigrobaetis niger","Nigrobaetis niger",TRUE,FALSE,"nigrobaetis niger"
"Salmo labrax","Salmo labrax","preysOn","NCBI:111559","Niphargidae","root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Senticaudata | Gammarida | Crangonyctidira | Crangonyctoidea | Niphargidae","Salmo labrax","Salmo labrax","Niphargidae",,FALSE,FALSE,"niphargidae"
"Salmo labrax","Salmo labrax","preysOn","EOL:4248981","Niphargus aquilex","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Senticaudata | Gammarida | Crangonyctidira | Crangonyctoidea | Niphargidae | Niphargus | Niphargus aquilex","Salmo labrax","Salmo labrax","Niphargus aquilex","Niphargus aquilex",TRUE,FALSE,"niphargus aquilex"
"Salmo labrax","Salmo labrax","preysOn","WD:Q108531508","Niphargus arolaensis","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus arolaensis","Salmo labrax","Salmo labrax","Niphargus arolaensis","Niphargus arolaensis",TRUE,FALSE,"niphargus arolaensis"
