metric,edges,predators,prey,obs_mean_absdiff,null_mean,null_sd,z,p_one_sided,median_recorded_prey_coverage
ctmax,5064,465,710,3.8724563800669323,5.165132905152204,0.04028342992385249,-32.089534767243244,0.0,0.111111111111111
lt50,220,44,78,8.621032563209736,10.950681095903127,0.3826745739699668,-6.087805909143644,0.0,0.038603085114713
ctmin,147,31,70,2.893143235071806,3.5960709417701953,0.17704702144138387,-3.9702882374167046,0.0,0.0625
ltmax,123,19,42,3.7357918910358006,4.341671150588354,0.2157446181632309,-2.8083169105713193,0.001,0.0227057710501419
