pred,pred_trait,mean_prey_trait,trait_source_pred,nprey
Agkistrodon contortrix,6.9,7.800000000000001,GlobTherm,2
Anguilla anguilla,0.933333333333333,3.8790261981319443,ThermoFresh,12
Anolis cristatellus,8.9,4.7,GlobTherm,1
Austrelaps superbus,3.0,2.9500000000000006,GlobTherm,6
Calathus melanocephalus,-3.8,-8.1,GlobTherm,1
Carassius carassius,4.814,2.233333333333335,ThermoFresh,2
Cyprinus carpio,9.06666666666667,4.2888888888888905,ThermoFresh,3
Dicentrarchus labrax,5.18,2.90098104425,ThermoFresh,1
Elgaria multicarinata,2.2,4.8,GlobTherm,1
Gambelia wislizenii,11.6,6.3,GlobTherm,2
Gambusia affinis,7.52666666666667,5.028333333333335,ThermoFresh,2
Hemidactylus frenatus,11.9,11.5,GlobTherm,1
Ictalurus punctatus,6.33333333333333,5.613,ThermoFresh,5
Lacerta agilis,5.9,3.96,GlobTherm,5
Lepomis cyanellus,5.8,7.52666666666667,ThermoFresh,1
Lepomis gibbosus,1.7,2.233333333333335,GlobTherm,2
Linepithema humile,-0.1,7.422222222222223,GlobTherm,3
Lota lota,3.3,2.838944444444445,ThermoFresh,12
Lutjanus guttatus,12.0,12.4,GlobTherm,1
Micropterus salmoides,8.30333333333333,5.462571895424836,ThermoFresh,17
Oncorhynchus mykiss,0.733333333333333,4.09825,ThermoFresh,12
Parasuta flagellum,3.0,4.125,GlobTherm,4
Pseudechis porphyriacus,3.0,4.45,GlobTherm,6
Pseudonaja nuchalis,7.0,6.949999999999999,GlobTherm,4
Pseudonaja textilis,3.5,4.9363636363636365,GlobTherm,11
Salmo salar,1.0,3.518066666666667,GlobTherm,10
Sciaenops ocellatus,3.1775,6.89666666666667,ThermoFresh,2
Thamnophis elegans,2.0,4.101761904761905,GlobTherm,7
Thamnophis marcianus,5.7,11.95,GlobTherm,2
Thamnophis sirtalis,4.2,3.4152777777777783,GlobTherm,6
Trimeresurus gracilis,4.7,5.900000000000001,GlobTherm,3
