pred,prey
Hypoplectrus nigricans,Parablennius marmoreus
Megalops atlanticus,Megalops atlanticus
Bagrus docmak,Mastacembelus frenatus
Bagrus docmak,Oreochromis esculentus
Bagrus docmak,Brycinus nurse
Bagrus docmak,Clarias gariepinus
Bagrus docmak,Synodontis schall
Platichthys flesus,Pomatoschistus minutus
Platichthys flesus,Alosa fallax
Platichthys flesus,Pomatoschistus microps
Platichthys flesus,Pleuronectes platessa
Platichthys flesus,Solea solea
Platichthys flesus,Rutilus rutilus
Platichthys flesus,Clupea harengus
Platichthys flesus,Platichthys flesus
Trematomus pennellii,Notothenia rossii
Trematomus pennellii,Trematomus bernacchii
Trematomus pennellii,Trematomus hansoni
Trematomus pennellii,Notothenia coriiceps
Trematomus pennellii,Trematomus pennellii
Paralichthys californicus,Hypsurus caryi
Paralichthys californicus,Halichoeres semicinctus
Paralichthys californicus,Oxyjulis californica
Paralichthys californicus,Chromis punctipinnis
Paralichthys californicus,Paralabrax nebulifer
Paralichthys californicus,Hypsypops rubicundus
Paralichthys californicus,Paralabrax clathratus
Paralichthys californicus,Girella nigricans
Paralichthys californicus,Cymatogaster aggregata
Paralichthys californicus,Paralichthys californicus
Paralichthys californicus,Atherinops affinis
Paralichthys californicus,Engraulis mordax
Paralichthys californicus,Acanthogobius flavimanus
Paralichthys californicus,Sardinops sagax
Paralichthys californicus,Scomber japonicus
Paralichthys californicus,Gillichthys mirabilis
Paralichthys californicus,Parophrys vetulus
Micropterus dolomieu,Percopsis transmontana
Micropterus dolomieu,Notropis hudsonius
Micropterus dolomieu,Gambusia affinis
Micropterus dolomieu,Fundulus diaphanus
Micropterus dolomieu,Oncorhynchus nerka
Micropterus dolomieu,Etheostoma caeruleum
Micropterus dolomieu,Oncorhynchus kisutch
Micropterus dolomieu,Oncorhynchus mykiss
Micropterus dolomieu,Lepomis megalotis
Micropterus dolomieu,Etheostoma nigrum
Micropterus dolomieu,Cottus bairdii
Micropterus dolomieu,Perca flavescens
Micropterus dolomieu,Oncorhynchus tshawytscha
Micropterus dolomieu,Coregonus artedi
Micropterus dolomieu,Micropterus dolomieu
Micropterus dolomieu,Percina caprodes
Micropterus dolomieu,Hybognathus hankinsoni
Micropterus dolomieu,Catostomus commersonii
Micropterus dolomieu,Gymnocephalus cernua
Micropterus dolomieu,Coregonus clupeaformis
Micropterus dolomieu,Lepomis gibbosus
Micropterus dolomieu,Osmerus mordax
Micropterus dolomieu,Salvelinus namaycush
Micropterus dolomieu,Ameiurus nebulosus
Micropterus dolomieu,Micropterus salmoides
Micropterus dolomieu,Notemigonus crysoleucas
Centropristis striata,Cyprinodon variegatus
Centropristis striata,Halichoeres bivittatus
Centropristis striata,Stenotomus chrysops
Centropristis striata,Cyprinodon artifrons
Centropristis striata,Anchoa mitchilli
Centropristis striata,Clupea harengus
Amia calva,Etheostoma exile
Amia calva,Ambloplites rupestris
Amia calva,Lepomis gibbosus
Amia calva,Lepomis megalotis
Amia calva,Esox americanus
Amia calva,Lepomis macrochirus
Amia calva,Micropterus dolomieu
Amia calva,Micropterus salmoides
Amia calva,Cyprinus carpio
Amia calva,Dorosoma cepedianum
Amia calva,Perca flavescens
Amia calva,Umbra limi
Gobio gobio,Squalius cephalus
Gobiomorphus breviceps,Gobiomorphus breviceps
Gadus morhua,Anguilla anguilla
Gadus morhua,Pleuronectes platessa
Gadus morhua,Clupea harengus
Gadus morhua,Alosa pseudoharengus
Gadus morhua,Gasterosteus aculeatus
Gadus morhua,Scomber scombrus
Gadus morhua,Osmerus eperlanus
Gadus morhua,Platichthys flesus
Gadus morhua,Zoarces viviparus
Gadus morhua,Pomatoschistus minutus
Morone americana,Osmerus mordax
Morone americana,Sander vitreus
Morone americana,Morone chrysops
Morone americana,Morone americana
Morone americana,Anchoa mitchilli
Morone americana,Lepomis gibbosus
Elops saurus,Anchoa mitchilli
Elops saurus,Lagodon rhomboides
Elops saurus,Poecilia latipinna
Elops saurus,Cyprinodon variegatus
Elops saurus,Mugil curema
Elops machnata,Gilchristella aestuaria
Elops machnata,Oreochromis mossambicus
Elops hawaiensis,Chanos chanos
Elops hawaiensis,Oreochromis mossambicus
Perca fluviatilis,Clupea harengus
Perca fluviatilis,Gymnocephalus cernua
Perca fluviatilis,Lepomis gibbosus
Perca fluviatilis,Rutilus rutilus
Perca fluviatilis,Neogobius melanostomus
Perca fluviatilis,Platichthys flesus
Perca fluviatilis,Rhodeus amarus
Perca fluviatilis,Abramis brama
Perca fluviatilis,Carassius carassius
Perca fluviatilis,Phoxinus phoxinus
Perca fluviatilis,Gasterosteus aculeatus
Perca fluviatilis,Alburnus alburnus
Perca fluviatilis,Blicca bjoerkna
Perca fluviatilis,Esox lucius
Perca fluviatilis,Oncorhynchus mykiss
Perca fluviatilis,Scardinius erythrophthalmus
Perca fluviatilis,Salmo salar
Perca fluviatilis,Perca fluviatilis
Perca fluviatilis,Coregonus albula
Perca fluviatilis,Sander lucioperca
Perca fluviatilis,Osmerus eperlanus
