species_alias,species_raw_names,kingdom_local,phylum_local,class_local,order_local,family_local,habitat_sources,group_local,trait_sources,consumer_taxon_status,queried_as_consumer,exclusion_reason
Pinus halepensis,Pinus halepensis,,Streptophyta,Spermatophyta,Pinales,Pinaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Pinus nigra,Pinus nigra,,Streptophyta,Spermatophyta,Pinales,Pinaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Pittosporum eugenioides,Pittosporum eugenioides,,Streptophyta,Spermatophyta,Apiales,Pittosporaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Pittosporum tenuifolium,Pittosporum tenuifolium,,Streptophyta,Spermatophyta,Apiales,Pittosporaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Pituophis catenifer,Pituophis catenifer,,Chordata,Lepidosauria,Squamata,Colubridae,"",,GlobTherm,animal,TRUE,""
Placidochromis polli,Placidochromis polli,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Placocheilus cryptonemus,Placocheilus cryptonemus,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Plagiognathops microlepis,Plagiognathops microlepis,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Plagiolepis pygmaea,Plagiolepis pygmaea,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Plagiomnium acutum,Plagiomnium acutum,,Streptophyta,Bryopsida,Bryales,Mniaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Plagiomnium affine,Plagiomnium affine,,Streptophyta,Bryopsida,Bryales,Mniaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Plagiomnium undulatum,Plagiomnium undulatum,,Streptophyta,Bryopsida,Bryales,Mniaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Plagiotremus azaleus,Plagiotremus azaleus,,Chordata,Actinopteri,Perciformes,Blenniidae,"",,GlobTherm,animal,TRUE,""
Plagopterus argentissimus,Plagopterus argentissimus,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Planiliza haematocheilus,Planiliza haematocheilus,Metazoa,Chordata,Actinopteri,Acanthomorphata,Mugilidae,mixed,fish,ThermoFresh,animal,TRUE,""
Planiliza subviridis,Planiliza subviridis,Metazoa,Chordata,Actinopteri,Acanthomorphata,Mugilidae,mixed,fish,ThermoFresh,animal,TRUE,""
Planorbarius corneus,Planorbarius corneus,Metazoa,Mollusca,Gastropoda,Hygrophila,Planorbidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Planorbis carinatus,Planorbis carinatus,Metazoa,Mollusca,Gastropoda,Hygrophila,Planorbidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Planorbis planorbis,Planorbis planorbis,Metazoa,Mollusca,Gastropoda,Hygrophila,Planorbidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Platichthys flesus,Platichthys flesus,Animalia,Chordata,Actinopterygii,Acanthomorphata,Pleuronectidae,freshwater;mixed,fish,ComteOlden;GlobTherm;ThermoFresh,animal,TRUE,""
Platygobio gracilis,Platygobio gracilis,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Platymantis banahao,Platymantis banahao,,Chordata,Amphibia,Anura,Ceratobatrachidae,"",,GlobTherm,animal,TRUE,""
Platymantis corrugatus,Platymantis corrugatus,,Chordata,Amphibia,Anura,Ceratobatrachidae,"",,GlobTherm,animal,TRUE,""
Platymantis dorsalis,Platymantis dorsalis,,Chordata,Amphibia,Anura,Ceratobatrachidae,"",,GlobTherm,animal,TRUE,""
Platymantis luzonensis,Platymantis luzonensis,,Chordata,Amphibia,Anura,Ceratobatrachidae,"",,GlobTherm,animal,TRUE,""
Platysaurus intermedius,Platysaurus intermedius,,Chordata,Lepidosauria,Squamata,Cordylidae,"",,GlobTherm,animal,TRUE,""
Plecodus elaviae,Plecodus elaviae,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Plecodus multidentatus,Plecodus multidentatus,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Plecodus paradoxus,Plecodus paradoxus,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Plecodus straeleni,Plecodus straeleni,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Plecoglossus altivelis,Plecoglossus altivelis altivelis,Animalia,Chordata,Actinopterygii,,Plecoglossidae,freshwater,fish,ComteOlden,animal,TRUE,""
Plestiodon chinensis,Plestiodon chinensis,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Plestiodon elegans,Plestiodon elegans,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Plestiodon gilberti,Plestiodon gilberti,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Plestiodon obsoletus,Plestiodon obsoletus,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Plestiodon skiltonianus,Plestiodon skiltonianus,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Plethodon glutinosus,Plethodon glutinosus,,Chordata,Amphibia,Caudata,Plethodontidae,"",,GlobTherm,animal,TRUE,""
Pleurocera semicarinata,Pleurocera semicarinata,Metazoa,Mollusca,Gastropoda,,Pleuroceridae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Pleuronectes platessa,Pleuronectes platessa,Animalia,Chordata,Actinopterygii,Acanthomorphata,Pleuronectidae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Pleuronectus platessa,pleuronectus platessa,,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,"",,GlobTherm,animal,TRUE,""
Plotosus lineatus,Plotosus lineatus,Animalia,Chordata,Actinopterygii,,Plotosidae,marine,fish,ComteOlden,animal,TRUE,""
Poa colensoi,Poa colensoi,,Streptophyta,Spermatophyta,Poales,Poaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Poa pygmaea,Poa pygmaea,,Streptophyta,Spermatophyta,Poales,Poaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Podacarus auberti,Podacarus auberti,,Arthropoda,Arachnida,Oribatida,Ameronothridae,"",,GlobTherm,animal,TRUE,""
Podarcis bocagei,Podarcis bocagei,,Chordata,Lepidosauria,Squamata,Lacertidae,"",,GlobTherm,animal,TRUE,""
Podarcis hispanica,Podarcis hispanica,,Chordata,Lepidosauria,Squamata,Lacertidae,"",,GlobTherm,animal,TRUE,""
Podarcis lilfordi,Podarcis lilfordi,,Chordata,Lepidosauria,Squamata,Lacertidae,"",,GlobTherm,animal,TRUE,""
Podarcis muralis,Podarcis muralis,,Chordata,Lepidosauria,Squamata,Lacertidae,"",,GlobTherm,animal,TRUE,""
Podarcis tiliguerta,Podarcis tiliguerta,,Chordata,Lepidosauria,Squamata,Lacertidae,"",,GlobTherm,animal,TRUE,""
Podocarpus henkelii,Podocarpus henkelii,,Streptophyta,Spermatophyta,Araucariales,Podocarpaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Podocarpus latifolius,Podocarpus latifolius,,Streptophyta,Spermatophyta,Araucariales,Podocarpaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Podocarpus nivalis,Podocarpus nivalis,,Streptophyta,Spermatophyta,Araucariales,Podocarpaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Podocarpus salignus,Podocarpus salignus,,Streptophyta,Spermatophyta,Araucariales,Podocarpaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Podocarpus totara,Podocarpus totara,,Streptophyta,Spermatophyta,Araucariales,Podocarpaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Podranea ricasoliana,Podranea ricasoliana,,Streptophyta,Spermatophyta,Lamiales,Bignoniaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Poecilia caucana,Poecilia caucana,Metazoa,Chordata,Actinopteri,Acanthomorphata,Poeciliidae,freshwater,fish,ThermoFresh,animal,TRUE,""
Poecilia formosa,Poecilia formosa,Metazoa,Chordata,Actinopteri,Acanthomorphata,Poeciliidae,mixed,fish,ThermoFresh,animal,TRUE,""
Poecilia latipinna,Poecilia latipinna,Metazoa,Chordata,Actinopteri,Acanthomorphata,Poeciliidae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Poecilia mexicana,Poecilia mexicana,Metazoa,Chordata,Actinopteri,Acanthomorphata,Poeciliidae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Poecilia reticulata,Poecilia reticulata,Metazoa,Chordata,Actinopteri,Acanthomorphata,Poeciliidae,marine;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Poecilia sphenops,Poecilia sphenops,Metazoa,Chordata,Actinopteri,Acanthomorphata,Poeciliidae,mixed,fish,GlobTherm;ThermoFresh,animal,TRUE,""
Poecilia vivipara,Poecilia vivipara,Metazoa,Chordata,Actinopteri,Acanthomorphata,Poeciliidae,mixed,fish,ThermoFresh,animal,TRUE,""
Poeciliopsis monacha,Poeciliopsis monacha,,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,"",,GlobTherm,animal,TRUE,""
Poeciliopsis occidentalis,Poeciliopsis occidentalis,Metazoa,Chordata,Actinopteri,Acanthomorphata,Poeciliidae,freshwater,fish,ComteOlden;GlobTherm;ThermoFresh,animal,TRUE,""
Pogonichthys macrolepidotus,Pogonichthys macrolepidotus,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater;mixed,fish,ComteOlden;GlobTherm;ThermoFresh,animal,TRUE,""
Pogonomyrmex barbatus,Pogonomyrmex barbatus,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Pogonomyrmex californicus,Pogonomyrmex californicus,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Pogonomyrmex desertorum,Pogonomyrmex desertorum,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Pogonomyrmex rugosus,Pogonomyrmex rugosus,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Pollimyrus adspersus,Pollimyrus adspersus,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Pollimyrus castelnaui,Pollimyrus castelnaui,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Pollimyrus marianne,Pollimyrus marianne,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Pollimyrus petricolus,Pollimyrus petricolus,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Polyamblyodon germanum,Polyamblyodon germanum,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Polycelis nigra,Polycelis nigra,Metazoa,Platyhelminthes,Rhabditophora,Seriata,Planariidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Polycentropsis abbreviata,Polycentropsis abbreviata,Animalia,Chordata,Actinopterygii,,Polycentridae,freshwater,fish,ComteOlden,animal,TRUE,""
Polyodon spathula,Polyodon spathula,Animalia,Chordata,Actinopterygii,,Polyodontidae,freshwater,fish,ComteOlden,animal,TRUE,""
Polypedilum australotropicus,Polypedilum australotropicus,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Polyrhachis bihamata,Polyrhachis bihamata,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
