pred,pred_trait,mean_prey_trait,trait_source_pred,nprey
Esox lucius,25.5,25.848031055900616,ThermoFresh,14
Oncorhynchus clarkii,23.503999999999994,17.69374603174603,ThermoFresh,7
Pleuronectes platessa,27.0,31.0,ThermoFresh,2
Menidia menidia,15.8125,32.1,ThermoFresh,2
Anguilla australis,37.7,30.599999999999998,ThermoFresh,4
Sphoeroides maculatus,22.157142857142855,32.1,ThermoFresh,2
Dorosoma cepedianum,28.5,30.900000000000002,ThermoFresh,3
Morone chrysops,35.6,32.36666666666667,ThermoFresh,3
Micropterus salmoides,35.60000000000001,30.512194444444443,ThermoFresh,12
Morone saxatilis,20.550000000000008,25.963630952380953,ThermoFresh,10
Atherinops affinis,21.05,21.05,ThermoFresh,1
Salvelinus alpinus,19.9,21.478,ThermoFresh,5
Oncorhynchus kisutch,13.719999999999999,21.39088888888889,ThermoFresh,7
Rutilus rutilus,30.168000000000003,27.192857142857147,ThermoFresh,7
Prosopium williamsoni,23.1,18.41,ThermoFresh,2
Oncorhynchus tshawytscha,15.133333333333335,21.428444444444445,ThermoFresh,5
Coregonus artedi,19.8,19.8,ThermoFresh,1
Lates calcarifer,39.5,39.5,ThermoFresh,1
Cheimarrichthys fosteri,30.0,25.75,ThermoFresh,1
Coregonus clupeaformis,24.474,23.733478260869564,ThermoFresh,3
Platichthys flesus,29.0,29.84466666666667,ThermoFresh,6
Oreochromis niloticus,39.7,39.7,ThermoFresh,1
Lepomis macrochirus,33.0,32.17083333333333,ThermoFresh,4
Oreochromis mossambicus,38.25,38.25,ThermoFresh,1
Aplodinotus grunniens,32.8,31.141666666666666,ThermoFresh,2
Anguilla dieffenbachii,36.05,29.075,ThermoFresh,2
Gobiomorphus cotidianus,30.9,29.075,ThermoFresh,2
